ID,Field,latitude,longitude,year,Crop,planting_date,obs_planting_delta
ID_33.75_-92.25,Field_33.75_-92.25,33.75,-92.25,2021,Corn,5/2/2021,100
ID_34.0_-92.25,Field_34.0_-92.25,34,-92.25,2021,Corn,5/2/2021,100
ID_33.25_-93.5,Field_33.25_-93.5,33.25,-93.5,2021,Corn,5/1/2021,98
ID_33.25_-93.25,Field_33.25_-93.25,33.25,-93.25,2021,Corn,5/1/2021,99
ID_33.25_-93.0,Field_33.25_-93.0,33.25,-93,2021,Corn,5/1/2021,99
ID_35.25_-92.75,Field_35.25_-92.75,35.25,-92.75,2021,Corn,5/4/2021,98
ID_35.25_-92.5,Field_35.25_-92.5,35.25,-92.5,2021,Corn,5/4/2021,98
ID_35.5_-92.75,Field_35.5_-92.75,35.5,-92.75,2021,Corn,5/4/2021,104
ID_35.5_-92.5,Field_35.5_-92.5,35.5,-92.5,2021,Corn,5/4/2021,103
ID_35.75_-91.0,Field_35.75_-91.0,35.75,-91,2021,Corn,4/30/2021,99
ID_35.75_-90.75,Field_35.75_-90.75,35.75,-90.75,2021,Corn,4/30/2021,100
ID_35.75_-90.5,Field_35.75_-90.5,35.75,-90.5,2021,Corn,4/30/2021,100
ID_36.0_-90.5,Field_36.0_-90.5,36,-90.5,2021,Corn,4/30/2021,101
ID_35.5_-94.5,Field_35.5_-94.5,35.5,-94.5,2021,Corn,4/24/2021,108
ID_35.5_-94.25,Field_35.5_-94.25,35.5,-94.25,2021,Corn,4/24/2021,108
ID_35.25_-90.25,Field_35.25_-90.25,35.25,-90.25,2021,Corn,4/29/2021,98
ID_35.5_-90.25,Field_35.5_-90.25,35.5,-90.25,2021,Corn,4/29/2021,98
ID_35.25_-91.0,Field_35.25_-91.0,35.25,-91,2021,Corn,5/3/2021,96
ID_35.25_-90.75,Field_35.25_-90.75,35.25,-90.75,2021,Corn,5/3/2021,96
ID_35.25_-90.5,Field_35.25_-90.5,35.25,-90.5,2021,Corn,5/3/2021,96
